sel	array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
3	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B12_730328	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B12_730328	called	0.56	3	0	0.22	19	0.65	0	2.942375016	0
1	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E07_1301154	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E07_1301154	called	0.66	2	0	0.33	12	0.66	0	2.00267654	0
1	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D01_831536	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D01_831536	called	0.81	2	0	0.41	10	0.81	0	1.972455018	0
1	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E08_1376770	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E08_1376770	called	0.72	2	0	0.36	11	0.72	0	1.976832731	0
2	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G01_1365286	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G01_1365286	called	0.68	3	0	0.25	16	0.76	0	2.961106909	0
2	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A12_1320526	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A12_1320526	called	0.73	3	0	0.27	15	0.8	0	2.994737102	0
1	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E05_1301276	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E05_1301276	called	0.63	3	0	0.24	17	0.72	0	3.008663418	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H02_863660	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H02_863660	called	0.61	3	0	0.23	18	0.7	0	2.954487072	0
2	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D11_1365308	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D11_1365308	called	1	3	0	0.33	12	1	0	3.004166024	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D10_831556	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D10_831556	called	0.55	3	0	0.21	19	0.64	0	2.955633166	0
1	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D06_1244720	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D06_1244720	called	0.66	1.99	0	0.33	12	0.66	0	1.982749576	0
1	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B06_730476	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B06_730476	called	0.79	2	0	0.4	10	0.79	0	1.982339408	0
3	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_D09_913986	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_D09_913986	called	0.7	3	0	0.26	16	0.78	0	2.978853934	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B02_863648	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B02_863648	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C10_1376744	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C10_1376744	called	0.47	3	0	0.19	23	0.57	0	2.967978501	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E03_831636	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E03_831636	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
3	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_D07_777824	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_D07_777824	called	0.68	3	0	0.25	16	0.76	0	2.961106909	0
1	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D05_1244778	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D05_1244778	low purity	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F07_1365218	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F07_1365218	called	0.69	3.01	0	0.26	16	0.77	0	2.970217659	0
3	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B04_1376766	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B04_1376766	called	0.68	3	0	0.25	16	0.76	0	3.020925237	0
2	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A11_831652	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A11_831652	called	0.55	3	0	0.21	19	0.64	0	2.955633166	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F04_863662	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F04_863662	called	0.66	3	0	0.25	17	0.74	0	2.941427204	0
3	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F06_863244	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F06_863244	called	0.52	3	0	0.21	20	0.62	0	2.932055398	0
1	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G06_730366	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G06_730366	called	0.72	2	0	0.36	11	0.72	0	1.976832731	0
1	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E09_831576	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E09_831576	called	0.91	2	0	0.46	9	0.91	0	1.985139762	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G02_809230	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G02_809230	called	0.56	3	0	0.22	19	0.65	0	2.971946377	0
2	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E10_1376928	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E10_1376928	called	0.57	3	0	0.22	19	0.67	0	3.032909632	0
2	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B01_932810	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B01_932810	called	0.83	3	0	0.29	14	0.88	0	3.010681992	0
3	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F10_932840	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F10_932840	called	0.49	3	0	0.2	21	0.59	0	2.951658624	0
3	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G04_1361916	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G04_1361916	called	0.8	3	0	0.29	14	0.86	0	3.001694943	0
1	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_B12_1320554	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_B12_1320554	called	0.75	3	0	0.27	15	0.82	0	2.978884976	0
1	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E02_932738	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E02_932738	called	0.73	2	0	0.37	11	0.73	0	1.964601165	0
3	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B11_1344390	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B11_1344390	called	0.43	3	0	0.18	27	0.53	0	2.959800086	0
2	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A06_831560	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A06_831560	called	0.61	3	0	0.23	18	0.7	0	2.954487072	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F07_809218	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F07_809218	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
1	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C10_1361840	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C10_1361840	called	0.65	3	0	0.24	17	0.73	0	2.960295976	0
3	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D07_1148560	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D07_1148560	called	0.7	3	0	0.26	16	0.78	0	2.978853934	0
2	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E05_831638	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E05_831638	called	0.68	3	0	0.25	16	0.76	0	2.961106909	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B09_863264	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B09_863264	called	0.61	2	0	0.31	13	0.61	0	1.96541551	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C09_831628	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C09_831628	called	0.46	3	0	0.19	24	0.56	0	2.945214073	0
2	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B05_831504	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B05_831504	called	0.61	3	0	0.23	18	0.7	0	2.954487072	0
1	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D02_1344442	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D02_1344442	called	0.75	2	0	0.38	11	0.75	0	1.998342181	0
